Figure 13 (top-right). Effectiveness of the local search operator.  Convergence in terms of the average percentage improvement achieved in the fitness of the initial ensemble after applying LSA.,Column_2,Column_3,Column_4,Column_5
,,,,
Time(min),S 5 5,V 5 5,S 20 20,V 20 20
290,0.10138744778096,0.0925864729288042,0.139818861709601,0.0536101044091428
291,0.10137966303572,0.0925429308405876,0.139857937991948,0.053608642763939
292,0.101404382046998,0.0925765335344992,0.139883223503213,0.0536167947978084
293,0.101412579719188,0.0925832597300699,0.13991067413088,0.0536193353779311
294,0.101433103230867,0.092600571747873,0.139939933561154,0.0536215654592419
295,0.101447200744773,0.0925995564634155,0.139911396443252,0.0536151092246135
296,0.101491811127886,0.0925908632607999,0.13992206481218,0.0536292707145112
297,0.101545580122688,0.0925869898529086,0.139894628301724,0.0536156073603489
298,0.101528835126007,0.0925993791679747,0.139874446272192,0.0535957583641237
299,0.101568951475421,0.0925956621049208,0.139883960964425,0.0536130956516632
300,0.101627785646825,0.0926034809724254,0.139886226278412,0.0536236630664266
301,0.101652710239001,0.0926077479946449,0.139884371366047,0.0536063838132061
302,0.101659702075277,0.0925864065301088,0.139824758027056,0.0535727781445189
303,0.101662930757251,0.0926278964011639,0.139804156819005,0.0535467668691585
304,0.101678887721196,0.0926740538549646,0.139813417460816,0.0535531780947192
305,0.101686322913127,0.0927101947673142,0.139822022172309,0.0535680455084637
306,0.101685492968042,0.0927493031766451,0.139827415009916,0.053583909771264
307,0.101722660302882,0.0926950231948391,0.139832627005653,0.0535777032889169
308,0.101750414369245,0.0926859775376566,0.139845503573748,0.0535776330009662
309,0.101815090547362,0.0926691323547997,0.139905800163064,0.0535701696396316
310,0.101820885594715,0.0926892680921909,0.139912438117297,0.0535698775133607
311,0.101838670769696,0.0926940203223083,0.139890564301474,0.0535610507544904
312,0.101905647436883,0.0927269416088628,0.139926618627138,0.0535598184412406
313,0.10193527379888,0.0927860902407132,0.139967159144307,0.0535599386740656
314,0.101977247272545,0.0927846068327924,0.140002311605192,0.0535707022683392
315,0.102003453751183,0.0928103065406093,0.140038027140604,0.0535712008296282
316,0.101999831456619,0.0928927074072841,0.14010858675148,0.0535606641289036
317,0.102040833001162,0.0929539693093648,0.140127701976158,0.0535616154324379
318,0.102050191709597,0.0929912613998253,0.140101281222656,0.0535468420882914
319,0.102079697095645,0.093015756035095,0.140095204901242,0.0535773154277354
320,0.102163012650443,0.0929970379040856,0.140093499103549,0.0536006471365941
321,0.10221211251985,0.0929885060605634,0.140108935218858,0.0536137011208951
322,0.102245510046604,0.093047323314419,0.140067616793269,0.053597292865017
323,0.102282483535932,0.0930678282284808,0.140083159060305,0.0536228541876427
