Figure 13 (top-left). Effectiveness of the local search operator.  Convergence in terms of the average percentage of applications in which the local search operator successfully enhances the initial ensemble.,Column_2,Column_3,Column_4,Column_5
,,,,
Time(min),S 5 5,V 5 5,S 20 20,V 20 20
373,0.361239014995305,0.261790865500877,0.592975757006463,0.532498379099885
374,0.361211094115817,0.26182260968397,0.592713236779038,0.532395550757155
375,0.361173905292873,0.261872407262121,0.592324943496665,0.532035604496722
376,0.361141069252147,0.261873369713314,0.592089056202906,0.531860516333238
377,0.361100004255555,0.262042548129822,0.591692370621648,0.531761078552909
378,0.361067401845713,0.262062112520057,0.591401963566655,0.531429957106745
379,0.361174716185062,0.262102068152539,0.591072992922042,0.531254640192083
380,0.361134128380503,0.262104808508002,0.590764501378576,0.531018749671949
381,0.361072372803232,0.262094214600781,0.590487597540394,0.530757973262162
382,0.361071476165615,0.262177667317339,0.590146054576903,0.530577132830868
383,0.361143496329906,0.262253769645892,0.590050907752245,0.530585307633651
384,0.361103556795049,0.262267596359759,0.589931134254937,0.53031380789552
385,0.361089496075432,0.262367342652008,0.58944140391753,0.529987273544414
386,0.36109453256789,0.262356627474108,0.589300779953555,0.529780356690539
387,0.360979646642705,0.262430565441232,0.589022648924617,0.529680142616104
388,0.360923101365532,0.262479917537723,0.588684123318074,0.52958171158824
389,0.36085718418316,0.262504294688116,0.588311070759969,0.529477341998708
390,0.360784234721286,0.262421912870584,0.588101084443645,0.529195771457727
