Column_1,SEC,Column_3,Column_4,Column_5,Column_6,Column_7,GA,Column_9,Column_10,Column_11,Column_12,Column_13,MGA,Column_15,Column_16,Column_17,Column_18,Column_19
Time(min),3  Sum SEC,3  Vote SEC,5  Sum SEC,5  Vote SEC,7  Sum SEC,7  Vote SEC,3  Sum GA,3  Vote GA,5  Sum GA,5  Vote GA,7  Sum GA,7  Vote GA,3  Sum MGA,3  Vote  MGA,5  Sum MGA,5  Vote MGA,7  Sum MGA,7  Vote MGA
17,53648.8251236244,53830.6186415478,53507.3064589155,53197.7791571248,53565.4473279332,52877.4692151656,53260.4713729718,53830.6186415478,53336.6177694907,53015.8510590193,53330.2540528145,52910.8638257934,53191.4826783686,53602.5221561441,53298.0737783847,52812.9365480011,53336.7451872927,52951.3059045583
18,53651.3765700503,53830.6186415478,53518.5526621149,53227.571106916,53588.6559783309,52856.1850234999,53260.4713729718,53830.6186415478,53336.6177694907,53042.1041401834,53306.9882287255,52897.351696632,53203.10373357,53594.2120669882,53291.2728174918,52797.1784767371,53325.8744481322,52892.6444368153
19,53662.220711841,53830.6186415478,53508.7707913064,53204.9810570696,53579.970253074,52856.1850234999,53260.4713729718,53830.6186415478,53335.4167849498,53028.5470479458,53298.9990566024,52946.0511717932,53174.5959326034,53570.0312443442,53284.5642868379,52842.6387195014,53314.8276602035,52910.8609023858
20,53673.7889260242,53830.6186415478,53503.9090062717,53190.8308807466,53558.9789351348,52912.6963707851,53260.4713729718,53830.6186415478,53332.3998215404,52960.2458096656,53322.2492839417,52957.8190158796,53176.7415929198,53555.6732228311,53249.0179878779,52917.4363158977,53349.5070488121,52888.8777162865
21,53673.7889260242,53830.6186415478,53492.7178273012,53201.8263705478,53540.9271829723,52939.7646010621,53260.4713729718,53830.6186415478,53331.1988369995,52975.0652328255,53315.0492379033,52921.2264225955,53183.8056156041,53563.0693927622,53239.7738379294,52920.5338512404,53319.23619289,52873.3562235282
22,53671.3502525325,53830.6186415478,53477.5843043234,53187.7992091863,53568.0763262207,52934.8385595849,53260.4713729718,53830.6186415478,53331.1988369995,52936.4090889988,53310.2062773174,52898.9859055977,53156.6057772367,53561.4859111591,53244.7323677028,52925.6766731776,53256.6635542686,52849.7903562743
23,53671.3502525325,53830.6186415478,53477.5843043234,53169.6233881178,53568.0763262207,52934.8385595849,53260.4713729718,53830.6186415478,53331.1988369995,52901.3257497877,53312.9351052199,52924.1533951597,53141.3808635347,53560.7697536786,53221.1246518233,52897.9251066529,53255.7439931312,52837.6077435607
24,53671.3502525325,53830.6186415478,53493.3110997673,53171.4844090321,53562.9268428092,52908.7533141932,53260.4713729718,53830.6186415478,53331.1988369995,52913.8922941094,53303.8962299375,52897.6745821899,53136.6577968633,53520.450422202,53224.9393813514,52893.3665405905,53225.9707111383,52820.7667274341
25,53651.6335056181,53830.6186415478,53487.6742048345,53171.4844090321,53553.3212597416,52908.7533141932,53260.4713729718,53830.6186415478,53331.1988369995,52904.2079648613,53296.567206892,52857.9044073166,53150.4372894196,53515.1590544112,53225.9946599182,52890.9114946796,53210.0014210994,52855.6559207009
26,53641.4651512681,53830.6186415478,53487.6742048345,53171.4844090321,53553.3212597416,52920.8800590174,53260.4713729718,53830.6186415478,53331.1988369995,52928.6951526724,53286.1426216941,52819.7673970939,53146.151116312,53501.4159488409,53202.4153647135,52890.9114946796,53222.6856028147,52876.8234894123
